Period,median,std,max,min,range
2013-05-01,41.86722718700031,8.1717034916074,77.73547938453392,22.997832119745375,54.73764726478855
2013-06-01,30.789300478414212,7.541798163319076,63.45423322898671,14.299623787535634,49.15460944145108
2013-07-01,41.33292096381618,12.07376428827544,89.63316399659841,18.520045437844352,71.11311855875407
2013-08-01,38.2184407690009,14.924395148956423,93.52921758076066,12.001559413104799,81.52765816765586
2013-09-01,40.52931003012445,17.775348575969186,108.05798786937446,13.022319536126147,95.03566833324831
2013-10-01,44.185271939790695,13.320665713965932,93.82223085890368,20.366220256413374,73.4560106024903
2013-11-01,44.19668338340569,10.915904700491884,86.903339973766,24.46455361331855,62.43878636044744
2013-12-01,49.719920154607536,10.683316766709526,88.29382006806486,31.00830950679884,57.28551056126601
2014-01-01,36.113359602353945,9.311845234107347,71.77064152709937,19.932248743771595,51.83839278332778
2014-02-01,43.35334820574267,13.366020833307577,102.66197873199152,24.22790364911898,78.43407508287254
2014-03-01,37.02064406848981,10.207146837344785,81.9961314951995,20.28898870736803,61.70714278783148
2014-04-01,31.368534724544677,7.031587086856797,61.805204711467674,17.656584924853625,44.14861978661405
2014-05-01,30.936196855734586,6.070442016846787,53.30829666373532,15.618776804543376,37.68951985919195
2014-06-01,35.35129724925776,6.749496731773689,60.269235559469244,17.629807841722346,42.639427717746905
2014-07-01,25.5096938058476,4.670863893736241,42.443762850228126,12.198729558639174,30.245033291588953
2014-08-01,33.52156810326977,4.174469932866583,47.0940506330272,21.10707903077646,25.98697160225074
2014-09-01,27.742276697238022,3.5953727576890517,40.381647018856995,16.491510386077422,23.890136632779573
2014-10-01,24.229723467652185,3.356538378032154,36.71657846230965,12.70929080883915,24.007287653470502
2014-11-01,23.689510428153287,4.378014437599139,40.366113244107865,11.476565996304823,28.889547247803044
2014-12-01,18.621704799520035,3.6670440417987504,33.158373194056026,7.17666000869127,25.981713185364754
2015-01-01,18.710694915077315,3.66035478069072,32.60126780621281,7.492725012227522,25.10854279398529
2015-02-01,20.032697257172767,4.14091119885265,36.640603554544796,9.468889978334314,27.171713576210475
2015-03-01,19.378208320255442,4.024950631534776,34.150879604519005,7.927983906368722,26.222895698150282
2015-04-01,22.635272898949232,3.589452670980906,35.52841055398669,10.86210253188608,24.66630802210061
2015-05-01,22.46477333307308,4.095936929362917,37.183401388815554,10.100931752656656,27.0824696361589
2015-06-01,18.863066711016398,3.6396059113048156,31.585174465057932,7.152946992978712,24.43222747207922
2015-07-01,26.46778931126571,4.042554039412152,39.16392785321673,11.343309180036343,27.820618673180388
2015-08-01,14.762095773714307,3.4486252100483776,25.229918261032957,0.9177235546618902,24.312194706371066
2015-09-01,13.858343379270785,3.3932779666122737,23.93168138256821,0.932316624421612,22.9993647581466
2015-10-01,21.245637938663087,4.599762058950755,34.487710535318286,4.85700820379686,29.63070233152143
2015-11-01,21.97793602831774,5.616095019788037,39.258653314386564,3.0650498263654726,36.19360348802109
2015-12-01,22.44682098986266,6.026693027972315,39.79024831677085,1.5374107484213946,38.25283756834945
2016-01-01,16.427666546791386,3.7761846305066453,29.220381477932396,3.37978564107375,25.840595836858643
2016-02-01,6.507179167909478,3.1138360361301816,17.60411161237106,-4.52096513113139,22.125076743502447
2016-03-01,16.569739773095705,3.955417203199399,29.41053824399202,3.8202409934468315,25.590297250545184
2016-04-01,13.298925904999614,3.2010783961322966,26.72765898881377,1.4892361268732175,25.238422861940553
2016-05-01,14.89918746380146,4.183013451453902,31.24484010155692,2.0367624593466784,29.208077642210238
2016-06-01,15.247580614794954,4.350826932397273,32.342290384574476,1.032251888112791,31.310038496461683
2016-07-01,15.248304775600714,5.151778620273598,36.226990623262886,2.8116948407052327,33.41529578255765
2016-08-01,20.8220636531867,4.690537684925819,41.265084768838996,10.129791264222828,31.13529350461617
2016-09-01,22.844584324040603,4.81735101410932,44.12256125985537,12.192260820867808,31.930300438987558
2016-10-01,13.152191763534207,4.358581069827974,32.599151813355725,4.795617780090068,27.80353403326566
2016-11-01,10.976596483115248,5.292326767213856,32.05648772169305,0.8760488481586762,31.180438873534378
2016-12-01,15.05112914265784,6.027727506626987,38.05885230680681,4.962388399855226,33.096463906951584
2017-01-01,26.256605676092516,7.9203387396257,55.932402655558924,11.428461672758726,44.503940982800195
2017-02-01,35.28148335071756,6.841194923159071,62.47207175981997,19.704433176086415,42.76763858373356
2017-03-01,27.860520883877115,6.1679062289763245,51.16478121627177,14.279916562489184,36.88486465378259
2017-04-01,32.232775900055245,5.989528589694891,56.20209352505044,18.0160848549594,38.186008670091034
2017-05-01,31.79843749524268,6.290970396174609,56.13913840969731,18.016911124854623,38.12222728484269
2017-06-01,34.22003192642769,6.880641893141027,60.69767237883595,17.750732240255605,42.94694013858034
2017-07-01,30.63938364032569,6.492260945615231,55.44709101081773,14.12538768263759,41.321703328180135
2017-08-01,29.965858472094876,5.948131259048805,52.98257649903567,15.236139989471168,37.746436509564504
2017-09-01,30.981556551443745,5.477149671717417,52.80548798245523,16.776816050148664,36.028671932306565
2017-10-01,38.7206528468228,5.528357020604973,60.7950435408277,25.78285980412747,35.01218373670023
2017-11-01,40.78193960294038,3.5807347677412316,53.71945925952512,29.34703622471074,24.37242303481437
2017-12-01,36.90109838806529,2.894772985717677,47.36562730475625,26.88149630058762,20.48413100416863
2018-01-01,43.587773330881184,4.027276093510529,56.30271151343095,31.184273594726392,25.118437918704554
2018-02-01,33.77685027208982,5.1211380653942165,50.04922457111414,17.918716448908853,32.130508122205285
2018-03-01,26.395687105220343,4.382325389547292,41.02257267263837,13.900538416253063,27.12203425638531
2018-04-01,25.738941301473055,4.510488562747325,41.145681485215384,13.825408995764404,27.320272489450982
2018-05-01,25.71342118995884,4.071630319815297,39.225465841149635,12.996812783888734,26.228653057260903
2018-06-01,28.61790270038773,4.976994801292999,44.38427516525731,13.949771370683703,30.434503794573608
2018-07-01,28.630300799240416,3.4749599115262395,39.24473828777689,17.70518229722834,21.539555990548546
2018-08-01,34.45435869648419,4.3252719330093825,47.2578605702318,20.922311677894122,26.33554889233768
2018-09-01,33.23587340986956,4.174894754945854,46.042060433276696,20.68722526881498,25.354835164461715
2018-10-01,16.328696780516292,2.7133839298744475,25.08105220458096,7.3646164173012725,17.71643578727969
2018-11-01,13.468563817385043,2.739419088969014,23.007236884577313,4.960050363656953,18.04718652092036
2018-12-01,3.9049709594506905,2.598976102944789,12.862873417228554,-5.3895985473715005,18.252471964600055
2019-01-01,3.6937158860491377,2.627403474890451,13.128414929612633,-4.463648466626176,17.59206339623881
2019-02-01,10.774023946515463,2.992589182324987,20.96836411596892,-0.4022820681965354,21.370646184165455
2019-03-01,19.35812894428861,2.8521856980890146,30.478347586067777,8.150388616275562,22.327958969792217
2019-04-01,21.725100106750293,2.461111606146612,30.4892331457101,12.384024492043558,18.10520865366654
2019-05-01,8.867259592975223,3.104744426483977,19.60724303073754,-2.3771772345953535,21.984420265332894
2019-06-01,14.882189882262448,3.0861378771844468,24.93036309934449,3.6271342047634665,21.30322889458102
2019-07-01,12.66357029996756,2.6204266221286585,21.181219658309256,1.8207998864773387,19.360419771831914
2019-08-01,6.359312189112466,2.963802777049276,16.982206785901415,-6.430857275428051,23.413064061329468
2019-09-01,5.847009295229266,2.5514752815265616,15.649232283989218,-5.188165539249681,20.8373978232389
2019-10-01,17.40638114790538,2.338026311728234,27.54661741770174,7.561882821259516,19.984734596442223
2019-11-01,21.73367859611265,2.624434942003296,32.26780561295448,13.05342043617993,19.214385176774552
2019-12-01,36.83535879338547,3.173784729734064,51.949567413495465,26.90982022898978,25.03974718450569
2020-01-01,30.440657325415454,3.935043804465198,45.14237148526299,17.381153248210023,27.761218237052965
2020-02-01,16.994369752427595,4.111411400590745,32.8945932186685,6.400747184930658,26.49384603373783
2020-03-01,3.019865673759933,3.808583420562587,17.25624847606904,-11.787381335074176,29.043629811143212
2020-04-01,12.92387547984143,5.689504557669049,38.34343051697025,-3.570375148886952,41.913805665857204
2020-05-01,28.81549291744885,8.885738820224564,65.83274896873063,11.954504438732302,53.87824452999832
2020-06-01,23.953445884590042,9.418604852964112,64.17092475249065,5.383053788195951,58.78787096429471
2020-07-01,28.180287834003742,11.675921285241241,79.6618640832198,8.254765122758883,71.40709896046091
2020-08-01,43.98419372587329,21.78193658011864,140.45425444708818,16.79514258902916,123.659111858059
2020-09-01,35.552352239472874,17.920138173448247,114.00965826621423,11.94498001509234,102.06467825112189
2020-10-01,24.30767446678317,12.467268705556767,78.34452000512903,4.907616582411925,73.43690342271711
